business_name,city,website,email,finding_1,finding_2,email_sent,sent_date,replied,converted
Beress & Zalkind PLLC,Brooklyn/Manhattan,bzlawgroup.com,info@bzlawgroup.com,Missing secondary categories (Elder Law / Probate / Tax Attorney),No Google posts on listing,yes,2026-04-02,no,no
Law Office of Rachel Kaylie,Sheepshead Bay Brooklyn,kaylielaw.com,rachel@kaylielaw.com,Missing Free Consultation and Online Appointments attributes,No secondary categories (Family Law / Business Attorney),yes,2026-04-02,no,no
RK Law PC,Manhattan/NYC,rklawny.com,rkiperman@rklawny.com,No Google posts on listing,Description missing neighborhood keywords (Manhattan probate / NYC estate planning),yes,2026-04-02,no,no
Taylor & Associates Law PC,Crown Heights Brooklyn,tnalaw.com,office@tnalaw.com,Missing language-access attribute (Spanish-speaking) for immigration clients,Missing secondary Immigration Attorney category variants for Brooklyn neighborhood searches,yes,2026-04-02,no,no
Law Office of Irene H. Gabo PC,Sheepshead Bay Brooklyn,gabolaw.com,info@gabolaw.com,Free Consultation attribute not listed on profile,No Google posts — competitors who post rank above inactive listings,yes,2026-04-02,no,no
Law Offices of Mark Bratkovsky PC,Coney Island Brooklyn,mblawny.com,legal@mblawny.com,Russian-speaking staff attribute missing - invisible to Brighton Beach/Coney Island Russian community on Maps filters,Missing secondary categories (Business Attorney / Tax Attorney),yes,2026-04-03,no,no
Cherny Law Office PC,Brooklyn,lawcherny.com,alex@lawcherny.com,Free Consultation attribute not enabled on Google profile despite being advertised,Missing secondary categories (Divorce Lawyer / Family Law Attorney) for uncontested divorce practice,yes,2026-04-03,no,no
Bohm Law Firm PC,Brooklyn/Manhattan,bohmlawfirm.com,info@bohmlawfirm.com,No Google posts — listing appears dormant vs posting competitors,Missing Elder Law Attorney secondary category for estate/probate overlap searches,yes,2026-04-03,no,no
Law Office of Robert J. Maher PC,Lower Manhattan,robertmaherlaw.com,rjmaher@robertmaherlaw.com,Spanish and Mandarin-speaking staff not listed as attributes - invisible to language-filtered searches in Chinatown/LES,Missing Estate Planning Attorney and Probate Attorney secondary categories,yes,2026-04-03,no,no
Moshes Law PC,Brighton Beach Brooklyn,mosheslaw.com,info@mosheslaw.com,No Google posts on listing - inactive listing signal hurts ranking vs posting competitors,Probate Attorney missing as secondary category despite active estates practice,yes,2026-04-03,no,no
Law Office of Judy S. Mock PC,Brooklyn,judymocklaw.com,judy@judymocklaw.com,No Google posts - listing appears inactive vs posting competitors,Chinese-speaking staff not listed as attribute - invisible to language-filtered searches on Maps,yes,2026-04-04,no,no
Levitsky Law Firm PLLC,Brighton Beach Brooklyn,levitskylawfirm.com,dmitry@levitskylawfirm.com,Russian/Spanish/Polish-speaking staff not listed as attributes - invisible to language-filtered searches in Brighton Beach,Missing additional categories (Family Law Attorney / Criminal Defense Attorney) - ranks for fewer searches than smaller competitors,yes,2026-04-04,no,no
Regina Gordon Law Office PLLC,Coney Island Brooklyn,reginagordonlaw.com,info@reginagordonlaw.com,No Google posts on listing - virtually no small business firms post so even one post creates ranking advantage,Missing additional categories (Contract Law / Real Estate Attorney) - invisible for searches that match actual practice areas,yes,2026-04-04,no,no
Brayman Law Firm PLLC,Brighton Beach Brooklyn,braymanlawfirm.com,Office@BraymanLawFirm.com,No Google posts - personal injury firms that post rank above inactive listings for Brighton Beach searches,Russian-speaking staff not listed as attribute - invisible to language-filtered searches in Brighton Beach neighborhood,yes,2026-04-04,no,no
The Stein Law Firm,Brooklyn,lawyer4realestate.com,irenesteinesq@gmail.com,No Google posts - real estate attorneys who post rank above inactive profiles for Brooklyn co-op and condo searches,Listing shows only one category - missing Real Estate Consultant and Conveyancer categories means fewer search matches,yes,2026-04-04,no,no
