business_name,city,website,email,finding_1,finding_2,email_sent,sent_date,replied,converted,email_source
Beress & Zalkind PLLC,Brooklyn/Manhattan,bzlawgroup.com,info@bzlawgroup.com,Missing secondary categories (Elder Law / Probate / Tax Attorney),No Google posts on listing,yes,2026-04-02,no,no
Law Office of Rachel Kaylie,Sheepshead Bay Brooklyn,kaylielaw.com,rachel@kaylielaw.com,Missing Free Consultation and Online Appointments attributes,No secondary categories (Family Law / Business Attorney),yes,2026-04-02,no,no
RK Law PC,Manhattan/NYC,rklawny.com,rkiperman@rklawny.com,No Google posts on listing,Description missing neighborhood keywords (Manhattan probate / NYC estate planning),yes,2026-04-02,no,no
Taylor & Associates Law PC,Crown Heights Brooklyn,tnalaw.com,office@tnalaw.com,Missing language-access attribute (Spanish-speaking) for immigration clients,Missing secondary Immigration Attorney category variants for Brooklyn neighborhood searches,yes,2026-04-02,no,no
Law Office of Irene H. Gabo PC,Sheepshead Bay Brooklyn,gabolaw.com,info@gabolaw.com,Free Consultation attribute not listed on profile,No Google posts — competitors who post rank above inactive listings,yes,2026-04-02,no,no
Law Offices of Mark Bratkovsky PC,Coney Island Brooklyn,mblawny.com,legal@mblawny.com,Russian-speaking staff attribute missing - invisible to Brighton Beach/Coney Island Russian community on Maps filters,Missing secondary categories (Business Attorney / Tax Attorney),yes,2026-04-03,no,no
Cherny Law Office PC,Brooklyn,lawcherny.com,alex@lawcherny.com,Free Consultation attribute not enabled on Google profile despite being advertised,Missing secondary categories (Divorce Lawyer / Family Law Attorney) for uncontested divorce practice,yes,2026-04-03,no,no
Bohm Law Firm PC,Brooklyn/Manhattan,bohmlawfirm.com,info@bohmlawfirm.com,No Google posts — listing appears dormant vs posting competitors,Missing Elder Law Attorney secondary category for estate/probate overlap searches,yes,2026-04-03,no,no
Law Office of Robert J. Maher PC,Lower Manhattan,robertmaherlaw.com,rjmaher@robertmaherlaw.com,Spanish and Mandarin-speaking staff not listed as attributes - invisible to language-filtered searches in Chinatown/LES,Missing Estate Planning Attorney and Probate Attorney secondary categories,yes,2026-04-03,no,no
Moshes Law PC,Brighton Beach Brooklyn,mosheslaw.com,info@mosheslaw.com,No Google posts on listing - inactive listing signal hurts ranking vs posting competitors,Probate Attorney missing as secondary category despite active estates practice,yes,2026-04-03,no,no
Law Office of Judy S. Mock PC,Brooklyn,judymocklaw.com,judy@judymocklaw.com,No Google posts - listing appears inactive vs posting competitors,Chinese-speaking staff not listed as attribute - invisible to language-filtered searches on Maps,yes,2026-04-04,no,no
